#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2026-09-03T06:07:22 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-03T06:07:22	  Query execution date
#INFO	request=https://vizier.cfa.harvard.edu/viz-bin/asu-tsv?-source=J/MNRAS/455/892/tablea1&-out.max=unlimited&-out.all	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_74550892
#Name: J/MNRAS/455/892
#Title: Galaxy cluster concentration-mass relation (Groener+, 2016)
#INFO	ivoid=ivo://cds.vizier/j/mnras/455/892	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/mnras/455/892	    IVOID of underlying data collection
#INFO	creator=Groener A.M.	    First author or institution
#INFO	cites=bibcode:2016MNRAS.455..892G	    Article or Data origin sources
#INFO	journal=MNRA	    Journal name
#INFO	original_date=2016	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/MNRAS/455/892	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.74550892	    Dataset identifier that can be used for citation
#INFO	publication_date=2024-08-15	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_MNRAS_455_892_tablea1:
#Name: J/MNRAS/455/892/tablea1
#Title: Cluster concentrations and masses
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	Cluster	(a21)	Cluster name	[ucd=meta.id.parent]
#Column	z	(F7.4)	Redshift	[ucd=src.redshift]
#Column	RAJ2000	(A11)	Right ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A11)	Declination (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	Method	(A5)	Method used	[ucd=meta.note]
#Column	c200	(F5.2)	Concentration parameter c200=R200/rs	[ucd=stat.param]
#Column	E_c200	(F5.2)	? Error on c200 (upper value)	[ucd=stat.error;stat.max]
#Column	e_c200	(F5.2)	? Error on c200 (lower value)	[ucd=stat.error]
#Column	M200	(F7.3)	? Total cluster mass at radius R200	[ucd=phys.mass]
#Column	E_M200	(F7.3)	? Error on M200 (upper value)	[ucd=stat.error;stat.max]
#Column	f_E_M200	(A1)	[-i] i for +{infinity} for upper error	[ucd=meta.code]
#Column	e_M200	(F6.3)	? Error on M200 (lower value)	[ucd=stat.error]
#Column	cvir	(F5.2)	Viral concentration	[ucd=meta.note]
#Column	E_cvir	(F5.2)	? Error on cvir (upper value)	[ucd=stat.error;stat.max]
#Column	e_cvir	(F5.2)	? Error on cvir (lower value)	[ucd=stat.error]
#Column	Mvir	(F7.3)	? Virial mass	[ucd=phys.mass]
#Column	E_Mvir	(F8.3)	? Error on Mvir (upper value)	[ucd=stat.error;stat.max]
#Column	f_E_Mvir	(A1)	[-i] i for +{infinity} for upper error	[ucd=meta.code]
#Column	e_Mvir	(F6.3)	? Error on Mvir (lower value)	[ucd=stat.error]
#Column	Ref	(a36)	Reference, in refs.dat file	[ucd=meta.ref;pos.frame;meta.file]
#Column	delta	(a15)	Virial overdensity	[ucd=stat.fit.param]
#Column	Omegam	(F6.3)	Cosmological parameter, {Omega}_m_	[ucd=phys.cosmology]
#Column	Omegal	(F6.3)	Cosmological parameter, {Omega}_{lambda}_	[ucd=phys.cosmology]
#Column	h	(F6.3)	? Cosmological parameter, h	[ucd=phys.cosmology]
#Column	SimbadName	(f)	Simbad column added by the CDS	[ucd=meta.id]
recno	Cluster	z	RAJ2000	DEJ2000	Method	c200	E_c200	e_c200	M200	E_M200	f_E_M200	e_M200	cvir	E_cvir	e_cvir	Mvir	E_Mvir	f_E_Mvir	e_Mvir	Ref	delta	Omegam	Omegal	h	SimbadName
     475	Abell 1835           	 0.2528	14 01 02.30	+02 52 48.0	WL   	 8.00	10.90	 8.00	 11.000	  4.300	-	 4.300	 9.80	13.40	 9.80	 12.400	   4.800	-	 4.800	Corless et al. (2009)               	200            	 0.300	 0.700	 0.700	Abell 1835
     476	Abell 1835           	 0.2528	14 01 02.30	+02 52 48.0	WL   	 2.70	 0.80	 0.80	 15.000	  3.300	-	 3.300	 3.40	 1.00	 1.00	 18.500	   4.600	-	 4.600	Sereno et al. (2014)                	200            	 0.300	 0.700	 0.700	Abell 1835
     477	Abell 1835           	 0.2528	14 01 02.30	+02 52 48.0	WL   	 2.58	 0.48	 0.48	 38.670	  5.910	-	 5.910	 3.27	 0.59	 0.59	 47.890	   8.250	-	 8.250	Bardeau et al. (2007)               	200            	 0.300	 0.700	 0.700	Abell 1835
     478	Abell 1835           	 0.2528	14 01 02.30	+02 52 48.0	X-ray	 2.66	 0.35	 0.44	 22.860	  2.860	-	 3.110	 3.43	 0.45	 0.57	 28.650	   3.580	-	 3.900	Babyk et al. (2014)                 	200            	 0.270	 0.730	 0.730	Abell 1835
     479	Abell 1835           	 0.2528	14 01 02.30	+02 52 48.0	WL   	 2.60	 0.77	 0.61	 10.920	  2.910	-	 2.280	 3.35	 0.99	 0.79	 13.690	   3.650	-	 2.860	Okabe et al. (2010)                 	Virial         	 0.270	 0.730	 0.720	Abell 1835
     480	Abell 1835           	 0.2520	14 01 02.30	+02 52 48.0	WL   	 2.90	     	     	       	       	 	      	 3.70	     	     	       	        	 	      	Clowe (2003)                        	200            	 0.300	 0.700	 0.700	Abell 1835
     481	Abell 1835           	 0.2520	14 01 02.30	+02 52 48.0	WL   	 2.96	     	     	 23.800	  3.500	-	 3.200	 3.72	     	     	 28.800	   4.200	-	 3.900	Clowe & Schneider (2002)            	200            	 0.300	 0.700	      	Abell 1835
     482	Abell 1835           	 0.2520	14 01 02.30	+02 52 48.0	WL   	 4.80	     	     	       	       	 	      	 5.96	     	     	       	        	 	      	Clowe & Schneider (2001a)           	200            	 0.300	 0.700	 0.700	Abell 1835
     483	Abell 1835           	 0.2520	14 01 02.30	+02 52 48.0	X-ray	 3.42	 0.45	 0.31	 21.200	  4.620	-	 5.030	 4.28	 0.55	 0.37	 25.300	   5.780	-	 6.210	Schmidt & Allen (2007)              	Virial         	 0.300	 0.700	 0.700	Abell 1835
     484	Abell 1835           	 0.2520	14 01 02.30	+02 52 48.0	X-ray	 3.13	 1.37	 1.44	 24.000	104.000	-	16.000	 3.93	 1.66	 1.76	 29.000	 136.000	-	20.000	Voigt & Fabian (2006)               	200/2E4        	 0.300	 0.700	 0.700	Abell 1835
     485	Abell 1835           	 0.2520	14 01 02.30	+02 52 48.0	X-ray	 4.21	 0.53	 0.61	 18.200	  8.400	-	 3.000	 5.24	 0.64	 0.74	 21.400	  10.300	-	 3.700	Allen et al. (2003)                 	200            	 0.300	 0.700	 0.500	Abell 1835
     486	RXC J0307.0-2840     	 0.2530	03 07 04.10	-28 40 14.0	X-ray	 3.15	 0.88	 0.78	 10.440	  2.390	-	 2.390	 3.97	 1.11	 0.98	 12.670	   2.900	-	 2.900	Ettori et al. (2011)                	200            	 0.300	 0.700	 0.700	RXC J0307.0-2840
     487	RXC J0307.0-2840     	 0.2530	03 07 04.10	-28 40 14.0	X-ray	 3.22	 0.88	 0.77	 12.620	  1.720	-	 1.820	 4.12	 1.13	 0.99	 15.500	   2.110	-	 2.240	Babyk et al. (2014)                 	200            	 0.270	 0.730	 0.730	RXC J0307.0-2840
     488	ZwCl 0104.4+0048     	 0.2545	01 06 48.48	+01 02 42.0	WL   	 7.90	 4.70	 4.70	  2.000	  0.600	-	 0.600	 9.70	 5.70	 5.70	  2.300	   0.800	-	 0.800	Sereno et al. (2014)                	200            	 0.300	 0.700	 0.700	ZwCl 0104+0048
     489	ZwCl 0104.4+0048     	 0.2545	01 06 48.48	+01 02 42.0	WL   	 6.46	 6.56	 2.74	  1.510	  0.510	-	 0.410	 8.08	 8.20	 3.43	  1.730	   0.580	-	 0.470	Okabe et al. (2010)                 	Virial         	 0.270	 0.730	 0.720	ZwCl 0104+0048
     490	Abell 68             	 0.2546	00 37 05.28	+09 09 10.8	X-ray	 2.65	 0.82	 0.06	 15.960	  1.970	-	 1.970	 3.35	 1.04	 0.08	 19.700	   2.430	-	 2.430	Ettori et al. (2011)                	200            	 0.300	 0.700	 0.700	Abell 68
     491	Abell 68             	 0.2546	00 37 05.28	+09 09 10.8	WL   	 4.90	 3.80	 3.80	  4.400	  1.700	-	 1.700	 6.10	 4.60	 4.60	  5.100	   2.300	-	 2.300	Sereno et al. (2014)                	200            	 0.300	 0.700	 0.700	Abell 68
     492	Abell 68             	 0.2546	00 37 05.28	+09 09 10.8	WL   	 3.84	 1.13	 1.13	  8.860	  2.810	-	 2.810	 4.80	 1.37	 1.37	 10.560	   3.620	-	 3.620	Bardeau et al. (2007)               	200            	 0.300	 0.700	 0.700	Abell 68
     493	Abell 68             	 0.2546	00 37 05.28	+09 09 10.8	WL   	 3.15	 2.63	 1.43	  4.490	  2.090	-	 1.480	 4.02	 3.36	 1.82	  5.490	   2.560	-	 1.810	Okabe et al. (2010)                 	Virial         	 0.270	 0.730	 0.720	Abell 68
     494	ZwCl 1454.8+2233     	 0.2578	14 57 14.40	+22 20 38.4	WL   	 3.60	 2.80	 2.80	  3.700	  2.000	-	 2.000	 4.50	 3.40	 3.40	  4.400	   2.700	-	 2.700	Sereno et al. (2014)                	200            	 0.300	 0.700	 0.700	ZwCl 1454+2233
     495	ZwCl 1454.8+2233     	 0.2578	14 57 14.40	+22 20 38.4	WL   	 3.14	 2.69	 1.53	  2.820	  1.650	-	 1.110	 4.01	 3.44	 1.96	  3.450	   2.020	-	 1.360	Okabe et al. (2010)                 	Virial         	 0.270	 0.730	 0.720	ZwCl 1454+2233
     496	MS 1455.0+2232       	 0.2590	14 57 15.10	+22 20 34.0	X-ray	 6.32	 0.53	 0.51	  3.660	  0.290	-	 0.290	 7.79	 0.65	 0.63	  4.190	   0.330	-	 0.330	Ettori et al. (2011)                	200            	 0.300	 0.700	 0.700	MS 1455.0+2232
     497	MS 1455.0+2232       	 0.2590	14 57 15.10	+22 20 34.0	X-ray	10.90	     	     	 14.000	       	 	      	13.20	     	     	 15.000	        	 	      	Molikawa et al. (1999)              	Virial         	 0.300	 0.700	 0.500	MS 1455.0+2232
     498	J0454-0309           	 0.2600	04 54 10.00	-03 09 00.0	WL   	 9.50	 4.80	 4.80	  0.840	  0.660	-	 0.660	11.79	 5.84	 5.84	  0.940	   0.770	-	 0.770	Schirmer et al. (2010)              	200            	 0.270	 0.730	 0.700	ClG J0454-0300
     499	RXC J2337.6+0016     	 0.2730	23 37 40.60	+00 16 36.0	X-ray	 4.99	 3.52	 2.18	  6.810	  1.910	-	 1.910	 6.17	 4.35	 2.70	  7.910	   2.220	-	 2.220	Ettori et al. (2011)                	200            	 0.300	 0.700	 0.700	RXC J2337.6+0016
     500	RXC J2337.6+0016     	 0.2730	23 37 40.60	+00 16 36.0	WL   	 6.60	 2.50	 2.50	  6.400	  1.100	-	 1.100	 8.10	 3.00	 3.00	  7.300	   1.400	-	 1.400	Sereno et al. (2014)                	200            	 0.300	 0.700	 0.700	RXC J2337.6+0016
     501	RXC J2337.6+0016     	 0.2730	23 37 40.60	+00 16 36.0	X-ray	 5.02	 1.55	 1.77	  8.500	  1.010	-	 0.890	 6.30	 1.95	 2.22	  9.980	   1.190	-	 1.040	Babyk et al. (2014)                 	200            	 0.270	 0.730	 0.730	RXC J2337.6+0016
     502	RXC J0303.8-7752     	 0.2740	03 03 46.40	-77 52 09.0	X-ray	 1.85	 1.04	 0.09	 13.210	  2.330	-	 2.330	 2.36	 1.33	 0.11	 16.880	   2.980	-	 2.980	Ettori et al. (2011)                	200            	 0.300	 0.700	 0.700	RXC J0303.8-7752
     503	RXC J0532.9-3701     	 0.2750	05 32 56.00	-37 01 34.0	X-ray	 5.97	 2.43	 1.82	  6.880	  1.830	-	 1.830	 7.34	 2.99	 2.24	  7.880	   2.100	-	 2.100	Ettori et al. (2011)                	200            	 0.300	 0.700	 0.700	RXC J0532.9-3701
     504	Abell 1703           	 0.2770	13 15 05.24	+51 49 02.6	SL   	 4.00	 0.50	 0.50	 20.200	  5.900	-	 4.900	 5.10	 0.70	 0.70	 24.100	   7.000	-	 5.800	Oguri et al. (2009)                 	Virial         	 0.260	 0.740	 0.720	Abell 1703
     505	Abell 1703           	 0.2770	13 15 05.24	+51 49 02.6	WL   	 2.60	 1.10	 0.90	 15.500	  5.200	-	 4.000	 3.30	 1.40	 1.10	 19.500	   6.500	-	 5.000	Oguri et al. (2009)                 	Virial         	 0.260	 0.740	 0.720	Abell 1703
     506	Abell 1703           	 0.2770	13 15 05.24	+51 49 02.6	WL+SL	 5.20	 1.00	 0.60	 12.900	  3.400	-	 3.000	 6.50	 1.20	 0.70	 15.000	   4.000	-	 3.500	Oguri et al. (2009)                 	Virial         	 0.260	 0.740	 0.720	Abell 1703
     507	Abell 1703           	 0.2770	13 15 05.24	+51 49 02.6	WL+SL	 5.80	 0.40	 0.40	 15.300	  1.800	-	 1.800	 7.15	 0.50	 0.50	 17.400	   2.100	-	 2.100	Zitrin et al. (2010)                	Virial         	 0.300	 0.700	 0.700	Abell 1703
     508	Abell 1703           	 0.2770	13 15 05.24	+51 49 02.6	WL   	 6.30	 1.80	 1.40	 14.400	  3.500	-	 2.700	 7.71	 2.22	 1.66	 16.400	   4.000	-	 3.100	Zitrin et al. (2010)                	Virial         	 0.300	 0.700	 0.700	Abell 1703
     509	Abell 1703           	 0.2770	13 15 05.24	+51 49 02.6	WL   	 5.60	 0.80	 0.80	 13.600	  2.000	-	 2.000	 6.90	 1.00	 1.00	 15.700	   2.500	-	 2.500	Sereno et al. (2014)                	200            	 0.300	 0.700	 0.700	Abell 1703
     510	Abell 1703           	 0.2770	13 15 05.24	+51 49 02.6	WL   	 5.72	 1.92	 1.39	 15.410	  3.060	-	 2.550	 7.02	 2.36	 1.70	 17.600	   3.490	-	 2.910	Umetsu et al. (2011a)               	Virial         	 0.300	 0.700	 0.700	Abell 1703
     511	Abell 1703           	 0.2770	13 15 05.24	+51 49 02.6	WL   	 3.81	 0.99	 0.82	 10.820	  2.190	-	 1.820	 4.79	 1.24	 1.03	 12.880	   2.610	-	 2.170	Oguri et al. (2012)                 	Virial         	 0.275	 0.725	 0.702	Abell 1703
     512	Abell 1703           	 0.2770	13 15 05.24	+51 49 02.6	WL+SL	 5.69	 0.92	 0.68	  9.520	  1.670	-	 1.420	 7.08	 1.14	 0.84	 10.960	   1.920	-	 1.630	Oguri et al. (2012)                 	Virial         	 0.275	 0.725	 0.702	Abell 1703
     513	Abell 2631           	 0.2780	23 37 40.08	+00 16 33.6	WL   	 6.30	 2.84	 1.83	  4.570	  1.000	-	 0.850	 7.84	 3.54	 2.28	  5.240	   1.150	-	 0.980	Okabe et al. (2010)                 	Virial         	 0.270	 0.730	 0.720	Abell 2631
     514	Abell 1758N          	 0.2790	13 32 32.10	+50 30 37.0	WL   	 0.16	 0.68	 0.68	  3.740	  6.800	-	 6.800	 0.24	 0.95	 0.95	  7.510	   8.140	-	 8.140	Okabe & Umetsu (2008)               	Virial         	 0.300	 0.700	 0.700	Abell 1758N
     515	Abell 1758S          	 0.2790	13 32 32.10	+50 30 37.0	WL   	 3.13	 5.41	 5.41	  1.420	  1.630	-	 1.630	 3.91	 6.51	 6.51	  1.710	   1.640	-	 1.640	Okabe & Umetsu (2008)               	Virial         	 0.300	 0.700	 0.700	Abell 1758S
     516	Abell 689            	 0.2793	08 37 25.40	+14 58 59.0	WL   	 1.50	 1.60	 1.60	  1.600	  0.900	-	 0.900	 1.90	 2.00	 2.00	  2.100	   1.500	-	 1.500	Sereno et al. (2014)                	200            	 0.300	 0.700	 0.700	Abell 689
     517	RX J0142.0+2131      	 0.2803	01 42 02.64	+21 31 19.2	WL   	 5.40	 1.60	 1.60	  6.000	  1.300	-	 1.300	 6.60	 1.90	 1.90	  6.900	   1.700	-	 1.700	Sereno et al. (2014)                	200            	 0.300	 0.700	 0.700	RX J0142.0+2131
     518	RX J0142.0+2131      	 0.2803	01 42 02.64	+21 31 19.2	WL   	 5.71	 2.17	 1.52	  3.890	  1.070	-	 0.880	 7.12	 2.71	 1.89	  4.490	   1.230	-	 1.010	Okabe et al. (2010)                 	Virial         	 0.270	 0.730	 0.720	RX J0142.0+2131
     519	XMMU J131359.7-162735	 0.2810	13 13 59.70	-16 27 35.0	X-ray	 5.50	 0.30	 0.30	  3.400	  0.320	-	 0.320	 6.70	 0.40	 0.40	  3.890	   0.350	-	 0.350	Gastaldello et al. (2007a)          	Virial         	 0.300	 0.700	 0.700	XMMU J131359.7-162735
     520	Abell 697            	 0.2820	08 42 56.70	+36 21 45.0	WL   	 2.50	 0.70	 0.70	 13.100	  2.400	-	 2.400	 3.10	 0.90	 0.90	 16.200	   3.400	-	 3.400	Sereno et al. (2014)                	200            	 0.300	 0.700	 0.700	Abell 697
     521	Abell 697            	 0.2820	08 42 56.70	+36 21 45.0	X-ray	 5.58	 1.11	 1.22	 13.560	  1.270	-	 1.140	 6.97	 1.39	 1.52	 15.760	   1.480	-	 1.320	Babyk et al. (2014)                 	200            	 0.270	 0.730	 0.730	Abell 697
     522	Abell 697            	 0.2820	08 42 56.70	+36 21 45.0	WL   	 2.31	 0.66	 0.54	  9.780	  2.120	-	 1.750	 2.97	 0.85	 0.69	 12.360	   2.680	-	 2.210	Okabe et al. (2010)                 	Virial         	 0.270	 0.730	 0.720	Abell 697
     523	RXC J0232.2-4420     	 0.2830	02 32 18.70	-44 20 41.0	X-ray	 1.80	 0.66	 0.04	 14.280	  1.900	-	 1.900	 2.29	 0.84	 0.05	 18.260	   2.430	-	 2.430	Ettori et al. (2011)                	200            	 0.300	 0.700	 0.700	RXC J0232.2-4420
     524	RXC J0232.2-4420     	 0.2830	02 32 18.70	-44 20 41.0	X-ray	 1.88	 0.67	 0.66	 18.250	  2.160	-	 1.820	 2.43	 0.87	 0.85	 23.640	   2.800	-	 2.360	Babyk et al. (2014)                 	200            	 0.270	 0.730	 0.730	RXC J0232.2-4420
     525	Abell 611            	 0.2880	08 00 58.90	+36 02 50.0	WL   	 3.70	 1.40	 1.40	  7.400	  1.700	-	 1.700	 4.60	 1.70	 1.70	  8.800	   2.300	-	 2.300	Sereno et al. (2014)                	200            	 0.300	 0.700	 0.700	Abell 611
     526	Abell 611            	 0.2880	08 00 58.90	+36 02 50.0	WL   	 4.50	 0.80	 0.80	 14.600	  3.600	-	 3.600	 5.60	 1.00	 1.00	 17.100	   4.400	-	 4.400	Sereno et al. (2014)                	200            	 0.300	 0.700	 0.700	Abell 611
     527	Abell 611            	 0.2880	08 00 58.90	+36 02 50.0	WL+SL	 3.40	 0.90	 0.90	  8.500	  0.500	-	 0.500	 4.30	 1.10	 1.10	 10.300	   0.700	-	 0.700	Merten et al. (2014)                	2500/200/virial	 0.270	 0.730	 0.700	Abell 611
     528	Abell 611            	 0.2880	08 00 58.90	+36 02 50.0	WL   	 3.35	 1.40	 0.97	  5.510	  1.450	-	 1.180	 4.23	 1.77	 1.23	  6.650	   1.750	-	 1.420	Okabe et al. (2010)                 	Virial         	 0.270	 0.730	 0.720	Abell 611
     529	Abell 611            	 0.2880	08 00 58.90	+36 02 50.0	X-ray	 5.08	 1.72	 1.61	  6.810	  4.680	-	 2.110	 6.24	 2.06	 1.94	  7.830	   5.780	-	 2.530	Schmidt & Allen (2007)              	Virial         	 0.300	 0.700	 0.700	Abell 611
     530	Abell 611            	 0.2880	08 00 58.90	+36 02 50.0	X-ray	 4.58	 2.36	 2.22	  9.400	 16.600	-	 3.900	 5.64	 2.83	 2.68	 11.000	  21.000	-	 5.000	Allen et al. (2003)                 	200            	 0.300	 0.700	 0.500	Abell 611
     531	ZwCl 1459.4+4240     	 0.2897	15 01 23.13	+42 20 39.6	WL   	 8.30	 3.90	 3.90	  3.700	  1.100	-	 1.100	10.10	 4.70	 4.70	  4.100	   1.300	-	 1.300	Sereno et al. (2014)                	200            	 0.300	 0.700	 0.700	ZwCl 1459+4240
     532	ZwCl 1459.4+4240     	 0.2897	15 01 23.13	+42 20 39.6	WL   	 5.26	 2.68	 1.75	  3.800	  1.300	-	 1.040	 6.55	 3.34	 2.18	  4.400	   1.500	-	 1.200	Okabe et al. (2010)                 	Virial         	 0.270	 0.730	 0.720	ZwCl 1459+4240
     533	Zwicky 3146          	 0.2910	10 23 39.60	+04 11 10.0	X-ray	 3.37	 0.15	 0.26	  7.790	  0.490	-	 0.490	 4.19	 0.19	 0.32	  9.320	   0.590	-	 0.590	Ettori et al. (2011)                	200            	 0.300	 0.700	 0.700	ZwCl 3146
     534	Zwicky 3146          	 0.2910	10 23 39.60	+04 11 10.0	X-ray	 2.32	 2.31	 2.32	 28.100	       	i	16.300	 2.91	 2.78	 2.91	 34.500	        	i	20.900	Schmidt & Allen (2007)              	Virial         	 0.300	 0.700	 0.700	ZwCl 3146
     535	RXC J0043.4-2037     	 0.2920	00 43 24.40	-20 37 17.0	X-ray	 7.80	 5.05	 3.51	  4.700	  1.240	-	 1.240	 9.50	 6.15	 4.27	  5.280	   1.390	-	 1.390	Ettori et al. (2011)                	200            	 0.300	 0.700	 0.700	RXC J0043.4-2037
     536	RXC J0043.4-2037     	 0.2920	00 43 24.40	-20 37 17.0	X-ray	 8.01	 3.89	 3.03	  6.380	  0.820	-	 0.840	 9.90	 4.81	 3.74	  7.220	   0.930	-	 0.950	Babyk et al. (2014)                 	200            	 0.270	 0.730	 0.730	RXC J0043.4-2037
     537	RXC J0516.7-5430     	 0.2940	05 16 35.20	-54 16 37.0	X-ray	 2.41	 2.82	 0.75	 10.440	  2.880	-	 2.880	 3.03	 3.55	 0.94	 12.890	   3.560	-	 3.560	Ettori et al. (2011)                	200            	 0.300	 0.700	 0.700	RXC J0516.7-5430
     538	RXC J0516.7-5430     	 0.2940	05 16 35.20	-54 16 37.0	X-ray	 2.45	 1.55	 0.77	 13.960	  1.540	-	 1.220	 3.13	 1.98	 0.98	 17.480	   1.930	-	 1.530	Babyk et al. (2014)                 	200            	 0.270	 0.730	 0.730	RXC J0516.7-5430
     539	Abell 2537           	 0.2950	23 08 23.20	-02 11 31.0	X-ray	 4.88	 0.24	 0.24	 16.120	  2.160	-	 2.190	 6.10	 0.30	 0.30	 18.890	   2.530	-	 2.570	Babyk et al. (2014)                 	200            	 0.270	 0.730	 0.730	Abell 2537
     540	Abell 2537           	 0.2950	23 08 23.20	-02 11 31.0	X-ray	 4.83	 2.32	 1.59	  7.580	  5.880	-	 3.040	 5.93	 2.78	 1.91	  8.740	   7.280	-	 3.640	Schmidt & Allen (2007)              	Virial         	 0.300	 0.700	 0.700	Abell 2537
     541	MS 1008.1-1224       	 0.3010	10 10 32.20	-12 39 55.0	X-ray	 4.40	     	     	 34.000	       	 	      	 5.40	     	     	 39.000	        	 	      	Molikawa et al. (1999)              	Virial         	 0.300	 0.700	 0.500	MS 1008.1-1224
     542	RXC J1131.9-1955     	 0.3070	11 31 54.40	-19 55 42.0	X-ray	 2.43	 1.16	 0.76	 11.310	  2.500	-	 2.500	 3.04	 1.45	 0.95	 13.910	   3.070	-	 3.070	Ettori et al. (2011)                	200            	 0.300	 0.700	 0.700	RXC J1131.9-1955
     543	RXC J1131.9-1955     	 0.3070	11 31 54.40	-19 55 42.0	X-ray	 2.55	 1.24	 1.67	 15.430	  1.450	-	 1.660	 3.24	 1.58	 2.12	 19.170	   1.800	-	 2.060	Babyk et al. (2014)                 	200            	 0.270	 0.730	 0.730	RXC J1131.9-1955
     544	Abell 2744           	 0.3080	00 14 18.90	-30 23 22.0	X-ray	 1.72	 0.15	 0.17	 22.170	  2.140	-	 2.260	 2.22	 0.19	 0.22	 28.830	   2.780	-	 2.940	Babyk et al. (2014)                 	200            	 0.270	 0.730	 0.730	Abell 2744
     545	GHO132029+3155       	 0.3080	13 22 48.77	+31 39 17.8	WL   	12.30	 3.20	 3.20	  3.900	  0.600	-	 0.600	14.80	 3.80	 3.80	  4.300	   0.700	-	 0.700	Sereno et al. (2014)                	200            	 0.300	 0.700	 0.700	GHO 132029+315500
     546	GHO132029+3155       	 0.3080	13 22 48.77	+31 39 17.8	WL   	 7.17	 2.73	 1.91	  3.030	  0.570	-	 0.510	 8.81	 3.35	 2.35	  3.430	   0.650	-	 0.580	Oguri et al. (2012)                 	Virial         	 0.275	 0.725	 0.702	GHO 132029+315500
     547	GHO132029+3155       	 0.3080	13 22 48.77	+31 39 17.8	WL+SL	12.86	 3.71	 2.29	  2.680	  0.470	-	 0.450	15.67	 4.52	 2.79	  2.950	   0.520	-	 0.500	Oguri et al. (2012)                 	Virial         	 0.275	 0.725	 0.702	GHO 132029+315500
     548	MS 2137.3-2353       	 0.3130	21 40 15.20	-23 39 40.0	SL   	 9.50	 1.29	 0.87	  4.110	  0.750	-	 0.460	11.47	 1.56	 1.05	  4.550	   0.830	-	 0.510	Donnarumma et al. (2009)            	200            	 0.300	 0.700	 0.700	MS 2137.3-2353
     549	MS 2137.3-2353       	 0.3130	21 40 15.20	-23 39 40.0	X-ray	 8.68	 0.71	 0.91	  4.430	  0.250	-	 0.250	10.49	 0.86	 1.10	  4.930	   0.280	-	 0.280	Donnarumma et al. (2009)            	200            	 0.300	 0.700	 0.700	MS 2137.3-2353
     550	MS 2137.3-2353       	 0.3130	21 40 15.20	-23 39 40.0	WL   	 5.20	 0.90	 0.90	 10.200	  2.400	-	 2.400	 6.40	 1.10	 1.10	 11.700	   2.900	-	 2.900	Sereno et al. (2014)                	200            	 0.300	 0.700	 0.700	MS 2137.3-2353
     551	MS 2137.3-2353       	 0.3130	21 40 15.20	-23 39 40.0	WL+SL	 3.10	 0.60	 0.60	 10.400	  0.600	-	 0.600	 4.00	 0.70	 0.70	 12.600	   0.600	-	 0.600	Merten et al. (2014)                	2500/200/virial	 0.270	 0.730	 0.700	MS 2137.3-2353
     552	MS 2137.3-2353       	 0.3130	21 40 15.20	-23 39 40.0	SL   	13.00	 1.00	 1.00	  2.900	  0.400	-	 0.400	16.00	 1.00	 1.00	  3.200	   0.400	-	 0.400	Comerford & Natarajan (2007)        	200/virial     	 0.300	 0.700	 0.700	MS 2137.3-2353
     553	MS 2137.3-2353       	 0.3130	21 40 15.20	-23 39 40.0	SL   	11.92	 0.77	 0.74	  7.560	  0.630	-	 0.540	14.34	 0.91	 0.88	  8.290	   0.710	-	 0.610	Gavazzi (2005)                      	200            	 0.300	 0.700	 0.700	MS 2137.3-2353
     554	MS 2137.3-2353       	 0.3130	21 40 15.20	-23 39 40.0	SL   	12.50	 5.00	 6.00	  7.900	       	 	      	15.00	 6.00	 7.00	  8.600	        	 	      	Gavazzi et al. (2003)               	200            	 0.300	 0.700	      	MS 2137.3-2353
     555	MS 2137.3-2353       	 0.3130	21 40 15.20	-23 39 40.0	SL   	11.70	 2.10	 2.10	  7.230	  1.900	-	 1.900	14.10	 2.50	 2.50	  7.930	   2.170	-	 2.170	Gavazzi (2002)                      	200            	 0.300	 0.700	      	MS 2137.3-2353
     556	MS 2137.3-2353       	 0.3130	21 40 15.20	-23 39 40.0	WL   	12.00	12.00	 8.00	  9.300	 85.400	-	 7.800	14.00	14.00	10.00	 10.000	 100.000	-	 9.000	Gavazzi et al. (2003)               	200            	 0.300	 0.700	      	MS 2137.3-2353
