#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2026-09-03T02:47:29 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-03T02:47:29	  Query execution date
#INFO	request=https://vizier.cfa.harvard.edu/viz-bin/asu-tsv?-source=J/ApJS/247/31/table1&-out.max=unlimited&-out.all	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_22470031
#Name: J/ApJS/247/31
#Title: Dark matter halo models for SPARC galaxies (Li+, 2020)
#INFO	ivoid=ivo://cds.vizier/j/apjs/247/31	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/apjs/247/31	    IVOID of underlying data collection
#INFO	creator=Li P.	    First author or institution
#INFO	cites=bibcode:2020ApJS..247...31L	    Article or Data origin sources
#INFO	journal=ApJS	    Journal name
#INFO	original_date=2020	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJS/247/31	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.22470031	    Dataset identifier that can be used for citation
#INFO	publication_date=2020-10-07	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_ApJS_247_31_table1:
#Name: J/ApJS/247/31/table1
#Title: The best-fit parameters for the 175 SPARC galaxies
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	Name	(a11)	Galaxy Name	[ucd=meta.id;meta.main]
#Column	Model	(A12)	Dark matter halo profile (1)	[ucd=meta.id;stat.fit]
#Column	Ydisk	(F5.2)	[0.1/4.3] Stellar mass-to-light ratio for disks	[ucd=phys.composition.massLightRatio]
#Column	e_Ydisk	(F5.2)	[0.01/0.6] Error on Ydisk	[ucd=stat.error]
#Column	Ybul	(F5.2)	[0/2.1] Stellar mass-to-light ratio for bulges	[ucd=phys.composition.massLightRatio]
#Column	e_Ybul	(F5.2)	[0/0.3] Error on Ybul	[ucd=stat.error]
#Column	Dist	(F6.2)	[0.02/129] Galaxy distance	[ucd=pos.distance;pos.heliocentric]
#Column	e_Dist	(F5.2)	[0.05/15.1] Error in Dist	[ucd=stat.error]
#Column	inc	(F4.1)	[5.4/90] Disk inclination	[ucd=src.orbital.inclination]
#Column	e_inc	(F4.1)	[0.6/14.3] Error in inc	[ucd=stat.error]
#Column	V200	(F6.2)	[10/500] Rotation velocity at r_200_ (2)	[ucd=phys.veloc.rotat]
#Column	e_V200	(F6.2)	[0.7/158] Error in V200	[ucd=stat.error]
#Column	C200	(F6.2)	[1/999.3] Halo concentration (2)	[ucd=meta.note]
#Column	e_C200	(F6.2)	[0.01/334.2] Error in C200	[ucd=stat.error]
#Column	rs	(F6.2)	[0.02/672] Halo scale radius	[ucd=phys.size.radius;instr.scale]
#Column	e_rs	(F8.2)	[0.01/17815] Error in rs	[ucd=stat.error]
#Column	log(rhos)	(F5.2)	[-5/3.3] Volume density of dark matter halos	[ucd=meta.bib.volume]
#Column	e_log(rhos)	(F6.2)	[0.06/271] Error in log(rhos)	[ucd=stat.error]
#Column	log(M200)	(F5.2)	[8.5/13.6] Halo mass (2)	[ucd=phys.mass]
#Column	e_log(M200)	(F5.2)	[0.02/20.3] Error in log(M200)	[ucd=stat.error]
#Column	alpha	(F5.2)	[0/2] Shape parameter for the Einasto model	[ucd=stat.param]
#Column	e_alpha	(F5.2)	[0/0.75] Error in alpha	[ucd=stat.error;pos.eq.ra]
#Column	chi2	(F5.2)	[0.02/36.6]? Reduced {Chi}^2^ (infinite when blank)	[ucd=stat.fit.chi2]
recno	Name	Model	Ydisk	e_Ydisk	Ybul	e_Ybul	Dist	e_Dist	inc	e_inc	V200	e_V200	C200	e_C200	rs	e_rs	log(rhos)	e_log(rhos)	log(M200)	e_log(M200)	alpha	e_alpha	chi2
    1238	UGC02023   	Burkert-Flat	 0.50	 0.12	 0.00	 0.00	 10.03	 3.08	17.4	 7.9	341.99	135.17	 13.52	 19.09	 34.65	   50.80	-1.89	  2.00	13.11	 0.51	 0.00	 0.00	
    1239	UGC02023   	NFW-Flat    	 0.48	 0.13	 0.00	 0.00	 10.34	 3.10	18.3	 6.7	238.24	136.91	  1.05	 11.78	311.80	 3512.69	-4.26	 15.97	12.63	 0.75	 0.00	 0.00	
    1240	UGC02023   	NFW-LCDM    	 0.49	 0.12	 0.00	 0.00	  9.53	 3.08	15.2	 4.0	 61.90	  7.45	  8.59	  2.30	  9.87	    2.90	-2.34	  0.42	10.88	 0.16	 0.00	 0.00	
    1241	UGC02023   	Einasto-Flat	 0.50	 0.12	 0.00	 0.00	 10.39	 3.09	16.4	 7.8	475.81	138.49	  7.96	  7.82	 81.87	   83.82	-2.46	  1.39	13.54	 0.38	 1.50	 0.50	
    1242	UGC02023   	Einasto-LCDM	 0.51	 0.13	 0.00	 0.00	  9.79	 3.23	12.0	 3.7	 62.57	  8.08	 12.25	  3.95	  7.00	    2.43	-2.54	  0.49	10.89	 0.17	 0.21	 0.09	
    1243	UGC02023   	DC14-Flat   	 0.50	 0.13	 0.00	 0.00	 10.01	 3.10	17.5	 7.1	101.08	 87.68	 18.21	 23.06	  7.60	   11.67	-2.03	  1.87	11.52	 1.13	 0.00	 0.00	
    1244	UGC02023   	DC14-LCDM   	 0.49	 0.12	 0.00	 0.00	 10.93	 2.65	21.7	 5.1	 64.50	  6.28	  9.25	  2.60	  9.56	    2.84	-2.67	  0.32	10.93	 0.13	 0.00	 0.00	
    1245	UGC02023   	coreNFW-Flat	 0.49	 0.12	 0.00	 0.00	 10.19	 3.31	12.5	 7.1	 96.15	135.83	 12.58	177.91	 10.47	  148.88	-1.93	 18.88	11.45	 1.84	 0.00	 0.00	
    1246	UGC02023   	coreNFW-LCDM	 0.50	 0.12	 0.00	 0.00	  9.68	 2.98	16.9	 3.8	 62.61	  6.98	  9.26	  2.56	  9.27	    2.77	-2.26	  0.42	10.89	 0.15	 0.00	 0.00	
    1247	UGC02023   	Lucky13-Flat	 0.49	 0.12	 0.00	 0.00	 10.29	 3.03	16.3	 7.4	425.57	133.50	 12.63	 16.58	 46.17	   62.33	-1.80	  1.84	13.39	 0.41	 0.00	 0.00	
    1248	UGC02023   	Lucky13-LCDM	 0.49	 0.12	 0.00	 0.00	 10.45	 2.77	22.4	 4.6	 63.53	  6.37	  9.33	  2.49	  9.33	    2.66	-2.11	  0.40	10.91	 0.13	 0.00	 0.00	
    1249	UGC02259   	pISO-Flat   	 0.50	 0.12	 0.00	 0.00	 10.09	 3.15	40.6	 3.0	 85.48	  7.44	206.62	126.09	  0.57	    0.35	-0.37	  0.85	11.30	 0.11	 0.00	 0.00	 0.96
    1250	UGC02259   	Burkert-Flat	 0.46	 0.11	 0.00	 0.00	 10.71	 3.15	41.1	 3.0	 45.87	  3.94	 38.76	 13.80	  1.62	    0.59	-0.70	  0.49	10.49	 0.11	 0.00	 0.00	 4.53
    1251	UGC02259   	NFW-Flat    	 0.49	 0.12	 0.00	 0.00	  9.94	 3.12	40.3	 3.0	 55.18	  5.08	 21.50	  8.74	  3.52	    1.47	-1.34	  0.56	10.73	 0.12	 0.00	 0.00	 1.39
    1252	UGC02259   	NFW-LCDM    	 0.43	 0.11	 0.00	 0.00	 12.54	 2.20	38.0	 2.5	 64.41	  4.30	 15.99	  2.76	  5.52	    1.02	-1.67	  0.26	10.93	 0.09	 0.00	 0.00	 2.44
    1253	UGC02259   	Einasto-Flat	 0.51	 0.13	 0.00	 0.00	 10.53	 2.91	41.2	 3.0	 57.41	 15.40	 16.86	  6.44	  4.66	    2.18	-2.22	  0.72	10.78	 0.35	 0.19	 0.08	 2.44
    1254	UGC02259   	Einasto-LCDM	 0.51	 0.12	 0.00	 0.00	 10.91	 2.23	40.4	 2.8	 66.67	  5.08	 14.27	  3.54	  6.40	    1.66	-2.47	  0.36	10.98	 0.10	 0.14	 0.03	 2.44
    1255	UGC02259   	DC14-Flat   	 0.52	 0.12	 0.00	 0.00	 11.90	 2.48	41.4	 2.9	 53.88	  4.07	 28.64	 11.43	  2.58	    1.05	-1.32	  0.41	10.70	 0.10	 0.00	 0.00	 1.78
    1256	UGC02259   	DC14-LCDM   	 0.62	 0.15	 0.00	 0.00	 17.34	 1.96	37.0	 2.3	 67.57	  4.11	 15.42	  3.70	  6.00	    1.49	-1.90	  0.25	10.99	 0.08	 0.00	 0.00	 2.51
    1257	UGC02259   	coreNFW-Flat	 0.47	 0.11	 0.00	 0.00	 10.57	 3.24	41.2	 3.1	 41.62	  3.81	 93.78	 40.91	  0.61	    0.27	 0.36	  0.60	10.36	 0.12	 0.00	 0.00	 4.44
    1258	UGC02259   	coreNFW-LCDM	 1.43	 0.24	 0.00	 0.00	 14.94	 1.93	42.2	 2.7	 82.32	  5.36	  4.18	  0.79	 26.96	    5.41	-3.07	  0.28	11.25	 0.08	 0.00	 0.00	10.05
    1259	UGC02259   	Lucky13-Flat	 0.48	 0.11	 0.00	 0.00	 10.09	 3.09	40.9	 3.0	 49.82	  4.39	 50.64	 18.55	  1.35	    0.51	-0.29	  0.51	10.60	 0.11	 0.00	 0.00	 2.20
    1260	UGC02259   	Lucky13-LCDM	 0.36	 0.09	 0.00	 0.00	 15.30	 2.25	36.3	 2.3	 63.24	  3.86	 34.21	  4.56	  2.53	    0.37	-0.73	  0.21	10.91	 0.08	 0.00	 0.00	 4.24
    1261	UGC02455   	pISO-Flat   	 0.45	 0.12	 0.00	 0.00	  1.30	 0.59	50.1	 5.2	498.40	108.95	170.70	148.45	  4.00	    3.59	-0.54	  1.26	13.60	 0.28	 0.00	 0.00	 1.07
    1262	UGC02455   	Burkert-Flat	 0.46	 0.12	 0.00	 0.00	  1.27	 0.60	50.2	 5.2	486.58	125.64	 45.95	 19.65	 14.51	    7.25	-0.51	  0.74	13.56	 0.34	 0.00	 0.00	 1.06
    1263	UGC02455   	NFW-Flat    	 0.49	 0.12	 0.00	 0.00	  0.02	 0.23	51.3	 5.0	390.62	121.55	 79.23	 23.26	  6.75	    2.89	 0.16	  0.69	13.28	 0.41	 0.00	 0.00	 3.50
    1264	UGC02455   	NFW-LCDM    	 0.34	 0.08	 0.00	 0.00	  2.26	 0.70	49.7	 5.1	 51.67	  4.31	 11.47	  3.21	  6.17	    1.80	-2.03	  0.40	10.64	 0.11	 0.00	 0.00	10.42
    1265	UGC02455   	Einasto-Flat	 0.46	 0.12	 0.00	 0.00	  1.33	 0.59	49.9	 5.2	478.07	134.43	 22.39	  7.74	 29.24	   13.03	-1.07	  0.69	13.54	 0.37	 1.74	 0.44	10.42
    1266	UGC02455   	Einasto-LCDM	 0.42	 0.10	 0.00	 0.00	  1.08	 0.46	50.9	 5.0	 43.20	  4.84	 21.45	  6.10	  2.76	    0.84	-1.59	  0.44	10.41	 0.15	 0.41	 0.12	10.42
    1267	UGC02455   	DC14-Flat   	 0.44	 0.11	 0.00	 0.00	  1.25	 0.70	49.0	 5.4	 56.01	 17.71	 68.54	 38.02	  1.12	    0.71	-0.59	  0.74	10.75	 0.41	 0.00	 0.00	 2.61
    1268	UGC02455   	DC14-LCDM   	 0.25	 0.05	 0.00	 0.00	  4.85	 0.97	47.6	 5.0	 60.66	  4.54	 16.23	  4.10	  5.12	    1.35	-2.13	  0.27	10.85	 0.10	 0.00	 0.00	 7.22
    1269	UGC02455   	coreNFW-Flat	 0.48	 0.12	 0.00	 0.00	  0.63	 0.35	49.9	 5.2	153.13	129.34	 17.97	 17.43	 11.67	   15.01	-1.54	  2.01	12.06	 1.10	 0.00	 0.00	 2.23
    1270	UGC02455   	coreNFW-LCDM	 0.36	 0.08	 0.00	 0.00	  2.19	 0.62	49.6	 5.2	 51.39	  4.01	 14.66	  3.40	  4.80	    1.18	-1.77	  0.34	10.64	 0.10	 0.00	 0.00	 5.88
    1271	UGC02455   	Lucky13-Flat	 0.48	 0.12	 0.00	 0.00	  1.11	 0.63	50.7	 5.2	499.79	117.52	 46.87	 20.00	 14.61	    7.12	-0.38	  0.71	13.60	 0.31	 0.00	 0.00	 1.10
    1272	UGC02455   	Lucky13-LCDM	 0.25	 0.06	 0.00	 0.00	  4.79	 1.08	48.6	 5.0	 60.94	  4.56	 14.61	  3.83	  5.72	    1.56	-1.65	  0.37	10.86	 0.10	 0.00	 0.00	 7.95
    1273	UGC02487   	pISO-Flat   	 0.82	 0.15	 0.54	 0.11	 78.90	 8.69	43.1	 3.8	234.78	 19.45	 32.63	 33.43	  9.86	   10.13	-1.96	  1.42	12.62	 0.11	 0.00	 0.00	 4.86
    1274	UGC02487   	Burkert-Flat	 0.67	 0.15	 0.69	 0.15	 77.88	 9.05	43.5	 3.6	179.98	 13.10	 13.22	  5.50	 18.65	    7.87	-1.91	  0.57	12.27	 0.09	 0.00	 0.00	 4.84
    1275	UGC02487   	NFW-Flat    	 0.70	 0.14	 0.58	 0.12	 75.96	 9.32	40.1	 3.9	200.41	 16.16	 11.43	  5.78	 24.02	   12.31	-2.04	  0.69	12.41	 0.11	 0.00	 0.00	 5.24
    1276	UGC02487   	NFW-LCDM    	 0.70	 0.15	 0.59	 0.11	 64.86	 7.86	46.2	 3.4	180.83	 11.54	  9.94	  2.66	 24.91	    6.85	-2.19	  0.37	12.27	 0.08	 0.00	 0.00	 5.26
    1277	UGC02487   	Einasto-Flat	 0.72	 0.16	 0.63	 0.14	 77.26	 8.99	39.6	 3.7	186.27	 18.06	  9.62	  3.45	 26.53	    9.87	-2.71	  0.51	12.31	 0.13	 0.31	 0.11	 5.26
    1278	UGC02487   	Einasto-LCDM	 0.54	 0.18	 0.54	 0.12	 61.08	 7.71	43.3	 4.0	170.12	 17.12	 16.95	  4.89	 13.75	    4.20	-2.13	  0.43	12.20	 0.13	 0.23	 0.06	 5.26
    1279	UGC02487   	DC14-Flat   	 0.79	 0.14	 0.49	 0.10	 73.35	 8.81	40.8	 3.6	217.68	 16.34	  7.27	  4.60	 40.99	   26.10	-2.27	  0.63	12.52	 0.10	 0.00	 0.00	 5.45
    1280	UGC02487   	DC14-LCDM   	 0.72	 0.15	 0.52	 0.11	 56.12	 7.47	43.2	 3.5	194.22	 13.73	 16.21	  3.09	 16.41	    3.33	-1.45	  0.22	12.37	 0.09	 0.00	 0.00	 5.93
    1281	UGC02487   	coreNFW-Flat	 0.63	 0.14	 0.71	 0.16	 77.70	 8.37	42.0	 3.4	189.79	 13.48	 11.67	  4.43	 22.28	    8.61	-2.01	  0.52	12.34	 0.09	 0.00	 0.00	 4.85
    1282	UGC02487   	coreNFW-LCDM	 0.69	 0.15	 0.68	 0.13	 65.09	 7.90	47.5	 3.4	175.26	 11.25	  9.58	  2.33	 25.05	    6.30	-2.22	  0.34	12.23	 0.08	 0.00	 0.00	 4.86
    1283	UGC02487   	Lucky13-Flat	 0.67	 0.14	 0.63	 0.13	 75.61	 9.27	42.5	 3.9	188.94	 14.77	 20.38	 10.46	 12.70	    6.59	-1.30	  0.69	12.33	 0.10	 0.00	 0.00	 5.03
    1284	UGC02487   	Lucky13-LCDM	 0.80	 0.16	 0.56	 0.10	 68.02	 7.65	48.7	 3.3	179.61	 12.25	 11.91	  2.85	 20.66	    5.15	-1.86	  0.34	12.27	 0.09	 0.00	 0.00	 4.91
    1285	UGC02885   	pISO-Flat   	 0.47	 0.10	 1.00	 0.12	 85.36	 7.21	65.5	 3.8	273.03	 13.51	 33.94	 11.84	 11.02	    3.88	-1.92	  0.49	12.81	 0.06	 0.00	 0.00	 0.84
    1286	UGC02885   	Burkert-Flat	 0.55	 0.11	 0.98	 0.12	 85.76	 7.14	66.1	 3.7	210.29	 15.41	 10.08	  2.00	 28.57	    6.03	-2.21	  0.30	12.47	 0.10	 0.00	 0.00	 1.10
    1287	UGC02885   	NFW-Flat    	 0.47	 0.10	 0.94	 0.12	 84.91	 7.33	65.4	 3.8	253.44	 36.93	  4.71	  1.62	 73.71	   27.49	-2.95	  0.53	12.71	 0.19	 0.00	 0.00	 0.99
    1288	UGC02885   	NFW-LCDM    	 0.42	 0.09	 1.05	 0.12	 77.08	 6.59	65.4	 3.6	247.18	 20.42	  5.87	  1.27	 57.69	   13.40	-2.73	  0.33	12.68	 0.11	 0.00	 0.00	 1.00
    1289	UGC02885   	Einasto-Flat	 0.49	 0.11	 0.95	 0.11	 85.41	 7.37	65.8	 3.7	242.10	 47.01	  4.69	  1.49	 70.66	   26.35	-3.53	  0.57	12.66	 0.25	 0.28	 0.25	 1.00
    1290	UGC02885   	Einasto-LCDM	 0.37	 0.08	 1.04	 0.13	 75.43	 6.72	64.0	 3.8	255.95	 20.89	  5.85	  1.36	 59.96	   14.78	-3.36	  0.35	12.73	 0.11	 0.17	 0.04	 1.00
    1291	UGC02885   	DC14-Flat   	 0.49	 0.10	 0.94	 0.12	 84.48	 7.23	64.9	 3.7	275.33	 26.88	  4.20	  1.67	 89.87	   36.92	-3.10	  0.42	12.82	 0.13	 0.00	 0.00	 1.02
    1292	UGC02885   	DC14-LCDM   	 0.39	 0.09	 1.02	 0.12	 77.35	 6.12	65.2	 3.7	250.30	 17.37	  7.07	  1.50	 48.52	   10.80	-2.63	  0.23	12.70	 0.09	 0.00	 0.00	 1.00
    1293	UGC02885   	coreNFW-Flat	 0.52	 0.09	 0.96	 0.12	 86.33	 7.04	64.9	 3.7	252.55	 42.21	  4.57	  1.92	 75.63	   34.12	-2.98	  0.64	12.71	 0.22	 0.00	 0.00	 0.96
    1294	UGC02885   	coreNFW-LCDM	 0.48	 0.09	 1.07	 0.12	 78.80	 6.55	65.6	 3.6	247.36	 22.43	  5.46	  1.33	 62.02	   16.08	-2.80	  0.37	12.68	 0.12	 0.00	 0.00	 1.01
    1295	UGC02885   	Lucky13-Flat	 0.52	 0.10	 0.99	 0.12	 86.42	 7.14	65.2	 3.7	232.09	 18.35	 11.62	  2.89	 27.36	    7.13	-1.89	  0.36	12.60	 0.10	 0.00	 0.00	 0.94
    1296	UGC02885   	Lucky13-LCDM	 0.62	 0.13	 0.96	 0.10	 83.32	 6.39	68.1	 3.6	258.41	 43.56	  8.54	  2.35	 41.45	   13.39	-2.19	  0.48	12.74	 0.22	 0.00	 0.00	 1.12
    1297	UGC02916   	pISO-Flat   	 1.06	 0.19	 0.50	 0.08	 66.09	 7.81	51.2	 4.1	175.04	 21.05	 46.56	 10.71	  5.15	    1.34	-1.66	  0.39	12.23	 0.16	 0.00	 0.00	11.58
    1298	UGC02916   	Burkert-Flat	 0.48	 0.11	 0.68	 0.12	 57.46	 8.52	46.5	 4.4	125.23	 11.42	 26.16	  3.14	  6.56	    0.99	-1.15	  0.23	11.80	 0.12	 0.00	 0.00	10.55
    1299	UGC02916   	NFW-Flat    	 0.51	 0.13	 0.54	 0.09	 57.22	 8.21	47.4	 4.6	135.30	 13.46	 16.36	  2.47	 11.33	    2.05	-1.65	  0.27	11.90	 0.13	 0.00	 0.00	11.37
    1300	UGC02916   	NFW-LCDM    	 0.50	 0.12	 0.50	 0.07	 61.63	 7.11	48.0	 4.1	140.21	 11.62	 14.16	  1.86	 13.56	    2.10	-1.80	  0.23	11.94	 0.11	 0.00	 0.00	11.40
    1301	UGC02916   	Einasto-Flat	 0.33	 0.07	 0.58	 0.10	 62.85	 8.20	49.7	 4.3	 71.50	  5.76	 10.99	  1.05	  8.91	    1.11	-1.97	  0.19	11.07	 0.10	 1.98	 0.11	11.40
    1302	UGC02916   	Einasto-LCDM	 0.32	 0.07	 0.86	 0.14	 69.22	 7.61	36.3	 2.8	104.58	  6.70	 12.54	  1.05	 11.43	    1.21	-1.94	  0.17	11.56	 0.08	 1.14	 0.14	11.40
    1303	UGC02916   	DC14-Flat   	 2.12	 0.28	 0.15	 0.02	 71.50	 8.19	50.9	 3.8	 53.96	  5.49	991.00	173.96	  0.07	    0.02	 3.20	  0.24	10.70	 0.13	 0.00	 0.00	 2.07
    1304	UGC02916   	DC14-LCDM   	 1.29	 0.28	 0.11	 0.02	 75.15	 7.15	42.1	 3.3	104.81	  6.15	 97.32	 17.84	  1.48	    0.28	 0.50	  0.20	11.56	 0.08	 0.00	 0.00	 4.13
    1305	UGC02916   	coreNFW-Flat	 0.51	 0.13	 0.76	 0.13	 50.44	 8.83	46.2	 4.6	139.29	 13.22	 16.65	  2.35	 11.46	    1.95	-1.63	  0.26	11.93	 0.12	 0.00	 0.00	11.48
    1306	UGC02916   	coreNFW-LCDM	 0.50	 0.12	 0.65	 0.10	 54.50	 7.02	48.3	 4.0	139.93	 10.85	 14.43	  1.75	 13.29	    1.92	-1.78	  0.21	11.94	 0.10	 0.00	 0.00	11.55
    1307	UGC02916   	Lucky13-Flat	 0.64	 0.17	 0.56	 0.09	 62.03	 8.19	48.6	 4.2	134.67	 11.41	 26.90	  4.06	  6.86	    1.19	-1.00	  0.25	11.89	 0.11	 0.00	 0.00	11.72
    1308	UGC02916   	Lucky13-LCDM	 0.66	 0.16	 0.48	 0.06	 66.90	 7.49	51.6	 3.8	132.23	  9.23	 22.65	  3.06	  8.00	    1.22	-1.18	  0.22	11.87	 0.09	 0.00	 0.00	11.72
    1309	UGC02953   	pISO-Flat   	 0.50	 0.06	 0.60	 0.08	 18.89	 2.45	50.4	 3.2	239.95	 11.21	 91.02	 12.55	  3.61	    0.53	-1.08	  0.21	12.64	 0.06	 0.00	 0.00	 4.97
    1310	UGC02953   	Burkert-Flat	 0.59	 0.08	 0.52	 0.07	 20.86	 2.38	51.2	 3.2	176.53	  9.01	 12.37	  1.28	 19.55	    2.25	-1.99	  0.17	12.24	 0.07	 0.00	 0.00	 6.07
    1311	UGC02953   	NFW-Flat    	 0.56	 0.10	 0.59	 0.11	 18.14	 2.64	50.0	 3.6	185.12	 11.40	 10.72	  1.88	 23.65	    4.38	-2.10	  0.26	12.31	 0.08	 0.00	 0.00	 5.64
    1312	UGC02953   	NFW-LCDM    	 0.54	 0.08	 0.57	 0.08	 16.90	 2.00	53.7	 3.2	176.03	  8.52	 10.73	  1.31	 22.47	    2.95	-2.10	  0.18	12.24	 0.06	 0.00	 0.00	 5.64
    1313	UGC02953   	Einasto-Flat	 0.52	 0.06	 0.55	 0.07	 19.26	 2.15	50.8	 3.2	179.59	 10.26	  9.30	  1.13	 26.46	    3.57	-2.81	  0.19	12.27	 0.07	 0.24	 0.03	 5.64
    1314	UGC02953   	Einasto-LCDM	 0.59	 0.07	 0.63	 0.07	 15.44	 1.91	53.5	 3.2	167.77	  9.80	 10.95	  1.17	 20.99	    2.55	-2.64	  0.18	12.18	 0.08	 0.23	 0.02	 5.64
    1315	UGC02953   	DC14-Flat   	 0.69	 0.07	 0.72	 0.08	 11.79	 0.94	51.4	 3.0	182.89	  8.04	 15.87	  2.55	 15.78	    2.63	-1.55	  0.17	12.29	 0.06	 0.00	 0.00	 5.80
    1316	UGC02953   	DC14-LCDM   	 0.62	 0.05	 0.63	 0.05	 12.81	 1.43	52.9	 3.4	184.58	  8.45	 13.53	  1.47	 18.69	    2.20	-1.69	  0.13	12.30	 0.06	 0.00	 0.00	 5.81
    1317	UGC02953   	coreNFW-Flat	 0.53	 0.07	 0.52	 0.07	 21.59	 2.50	50.2	 3.3	197.59	  9.69	  7.44	  0.68	 36.36	    3.76	-2.49	  0.15	12.39	 0.06	 0.00	 0.00	 5.65
    1318	UGC02953   	coreNFW-LCDM	 0.55	 0.07	 0.54	 0.06	 18.82	 2.17	54.1	 3.2	185.70	  8.58	  7.90	  0.70	 32.20	    3.21	-2.43	  0.15	12.31	 0.06	 0.00	 0.00	 5.67
    1319	UGC02953   	Lucky13-Flat	 0.59	 0.07	 0.58	 0.07	 19.54	 2.12	50.6	 3.4	184.37	  9.42	 17.98	  1.81	 14.04	    1.58	-1.43	  0.16	12.30	 0.07	 0.00	 0.00	 5.69
    1320	UGC02953   	Lucky13-LCDM	 0.53	 0.07	 0.52	 0.07	 19.25	 2.14	55.3	 3.2	175.46	  8.06	 16.95	  1.91	 14.18	    1.72	-1.49	  0.17	12.24	 0.06	 0.00	 0.00	 5.69
    1321	UGC03205   	pISO-Flat   	 0.67	 0.08	 0.88	 0.11	 65.72	 7.05	69.3	 3.6	215.82	 11.34	 15.63	  2.94	 18.91	    3.69	-2.57	  0.28	12.51	 0.07	 0.00	 0.00	 3.82
    1322	UGC03205   	Burkert-Flat	 0.68	 0.08	 0.87	 0.11	 65.53	 6.83	69.0	 3.7	165.36	  9.47	  7.47	  0.97	 30.34	    4.31	-2.52	  0.20	12.16	 0.07	 0.00	 0.00	 3.84
    1323	UGC03205   	NFW-Flat    	 0.29	 0.06	 0.82	 0.18	 23.12	 8.09	65.5	 4.1	105.12	 10.96	 60.60	 28.05	  2.38	    1.13	-0.16	  0.64	11.57	 0.14	 0.00	 0.00	 3.08
    1324	UGC03205   	NFW-LCDM    	 0.68	 0.08	 1.04	 0.12	 52.91	 5.57	68.8	 3.8	180.02	 16.39	  4.82	  1.18	 51.19	   13.37	-2.93	  0.37	12.27	 0.12	 0.00	 0.00	 3.54
    1325	UGC03205   	Einasto-Flat	 0.46	 0.08	 0.66	 0.13	 33.65	 8.44	65.8	 4.1	138.38	 19.57	 38.23	 18.36	  4.96	    2.48	-1.52	  0.69	11.93	 0.18	 0.09	 0.02	 3.54
    1326	UGC03205   	Einasto-LCDM	 0.48	 0.07	 0.76	 0.13	 46.83	 5.68	67.0	 4.0	164.13	 11.69	 12.53	  4.78	 17.95	    6.97	-2.69	  0.53	12.15	 0.09	 0.08	 0.02	 3.54
    1327	UGC03205   	DC14-Flat   	 0.36	 0.06	 0.67	 0.13	 41.45	 6.60	65.8	 4.2	132.45	  9.04	 31.72	 12.05	  5.72	    2.21	-0.91	  0.39	11.87	 0.09	 0.00	 0.00	 3.00
    1328	UGC03205   	DC14-LCDM   	 0.41	 0.06	 0.71	 0.11	 49.77	 4.76	67.1	 3.9	147.43	  6.11	 13.95	  3.08	 14.48	    3.25	-1.61	  0.23	12.01	 0.05	 0.00	 0.00	 3.12
    1329	UGC03205   	coreNFW-Flat	 0.60	 0.07	 0.85	 0.11	 66.36	 6.66	68.7	 3.8	222.65	 41.81	  2.45	  0.78	124.42	   45.76	-3.56	  0.55	12.55	 0.24	 0.00	 0.00	 3.61
    1330	UGC03205   	coreNFW-LCDM	 0.69	 0.08	 1.03	 0.12	 55.22	 5.37	69.0	 3.6	199.11	 18.72	  3.67	  0.68	 74.29	   15.41	-3.19	  0.30	12.40	 0.12	 0.00	 0.00	 3.65
    1331	UGC03205   	Lucky13-Flat	 0.22	 0.04	 0.94	 0.19	 34.43	 7.57	65.2	 4.1	112.98	  7.38	 83.40	 19.03	  1.86	    0.44	 0.29	  0.32	11.66	 0.09	 0.00	 0.00	 3.35
    1332	UGC03205   	Lucky13-LCDM	 0.69	 0.07	 0.91	 0.10	 62.45	 5.98	70.0	 3.6	197.44	 15.52	  7.62	  1.12	 35.50	    5.92	-2.30	  0.25	12.39	 0.10	 0.00	 0.00	 3.82
    1333	UGC03546   	pISO-Flat   	 0.61	 0.12	 0.53	 0.10	 25.64	 4.04	54.0	 4.5	178.67	 11.11	 86.29	 53.22	  2.84	    1.76	-1.13	  0.86	12.26	 0.08	 0.00	 0.00	 0.99
    1334	UGC03546   	Burkert-Flat	 0.54	 0.11	 0.58	 0.12	 26.27	 4.31	53.2	 4.6	110.88	  8.69	 24.14	  4.63	  6.29	    1.30	-1.25	  0.29	11.64	 0.10	 0.00	 0.00	 0.72
