#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2026-09-03T10:45:39 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-03T10:45:39	  Query execution date
#INFO	request=https://vizier.cfa.harvard.edu/viz-bin/asu-tsv?-source=J/ApJS/217/32/cvrhs&-out=Name,P1T,P2T,%3CT%3E,%3CF%3E,%3CType%3E,AC,_RA,_DE&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_22170032
#Name: J/ApJS/217/32
#Title: S4G galaxy morphologies in the CVRHS system (Buta+, 2015)
#INFO	ivoid=ivo://cds.vizier/j/apjs/217/32	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/apjs/217/32	    IVOID of underlying data collection
#INFO	creator=Buta R.J.	    First author or institution
#INFO	cites=bibcode:2015ApJS..217...32B	    Article or Data origin sources
#INFO	journal=ApJS	    Journal name
#INFO	original_date=2015	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJS/217/32	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.22170032	    Dataset identifier that can be used for citation
#INFO	publication_date=2017-06-27	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_ApJS_217_32_cvrhs:
#Name: J/ApJS/217/32/cvrhs
#Title: CVRHS (Comprehensive de Vaucouleurs  revised Hubble-Sandage) classifications for 2412  S^4^G galaxies, plus arm classification
#Column	Name	(A10)	Galaxy identifier (G1)	[ucd=meta.id;meta.main]
#Column	P1T	(a45)	Phase 1 type (1)	[ucd=src.morph.type]
#Column	P2T	(a45)	Phase 2 type (1)	[ucd=src.morph.type]
#Column	<T>	(F4.1)	[-5/11]? Unweighted average numerical T index (3)	[ucd=src.morph.type]
#Column	<F>	(F5.2)	[0/1]? Unweighted average numerical F index (3)	[ucd=src.morph.type]
#Column	<Type>	(a57)	Unweighted average classification type (3)	[ucd=src.morph.type]
#Column	AC	(A1)	[FGM] Arm class (4)	[ucd=meta.code;src.morph]
#Column	_RA	(F9.5)	Positions from SIMBAD (right ascension part)	[ucd=pos.eq.ra;meta.main]
#Column	_DE	(F9.5)	Positions from SIMBAD (declination part)	[ucd=pos.eq.dec;meta.main]
Name	P1T	P2T	<T>	<F>	<Type>	AC	_RA	_DE
NGC 4642  	S\underline{A}B(s)cd sp                      	S\underline{A}B(s)d sp                       	 6.5	 0.25	S\underline{A}B(s)c\underline{d} sp                      	M	190.82410	-00.64425
NGC 4643  	(L)SB(r,nl)0^o^                              	(L)SB(rs,bl,nl)0^+^                          	-1.5	 1.00	(L)SB(\underline{r}s,bl,nl)0^{o/+}^                      	 	190.83389	+01.97840
NGC 4647  	SAB(rs)cd                                    	SAB(rs)cd                                    	 6.0	 0.50	SAB(rs)cd                                                	F	190.88559	+11.58247
NGC 4649  	SA0^-^                                       	E^+^2                                        	-3.5	 0.00	E^+^2/SA0^-^                                             	 	190.91670	+11.55261
NGC 4651  	SA(\underline{r}s)\underline{b}c             	SA(rs)b pec                                  	 3.2	 0.00	SA(rs)b pec                                              	M	190.92761	+16.39340
NGC 4653  	S\underline{A}B(s)bc                         	SA(s)c                                       	 4.5	 0.12	SA(s)b\underline{c}                                      	M	190.96217	-00.56130
NGC 4654  	SB(r\underline{s})cd                         	SB(r\underline{s})cd                         	 6.0	 1.00	SB(r\underline{s})cd                                     	M	190.98599	+13.12635
NGC 4656  	SB(s)dm sp                                   	SB(s)dm sp pec                               	 8.0	 1.00	SB(s)dm sp pec                                           	 	190.99020	+32.17029
PGC 42868 	SAB(s)c                                      	SAB(s)cd                                     	 5.5	 0.50	SAB(s)\underline{c}d                                     	F	191.01504	-05.67617
UGC 7906  	dIB(s)m                                      	dIB(s)m                                      	10.0	 1.00	dIB(s)m                                                  	 	191.04049	+12.11418
UGC 7911  	SB(s)dm                                      	SAB(s)dm                                     	 8.0	 0.75	SA\underline{B}(s)dm                                     	F	191.12142	+00.46892
NGC 4659  	(R)SAB(l)0^o^                                	(RL)SAB(l,bl)0^o^                            	-2.0	 0.50	(\underline{R}L)SAB(l,bl)0^o^                            	 	191.12239	+13.49867
NGC 4658  	SB(rs)d                                      	SB(rs)d                                      	 7.0	 1.00	SB(rs)d                                                  	F	191.15744	-10.08312
IC 3718   	SB(s)m / S0^o^[d]                            	Im sp / Sph                                  	 9.5	 1.00	S/IB:(s:)m sp / Sph                                      	 	191.19163	+12.35145
IC 3727   	dE1 / dSph                                   	dSA0^o^ / Sph                                	11.0	     	dE-S0 / Sph                                              	 	191.27379	+10.90072
NGC 4666  	SB(s)c sp                                    	SAB(s)c sp                                   	 5.0	 0.75	SA\underline{B}(s)c sp                                   	 	191.28615	-00.46191
IC 3742   	SB(s)dm                                      	SAB(s)dm                                     	 8.0	 0.75	SA\underline{B}(s)dm                                     	F	191.38237	+13.33119
NGC 4668  	SB(s)dm                                      	IA\underline{B}(s)m                          	 9.0	 0.88	SB(s)m                                                   	F	191.38309	-00.53399
PGC 43020 	SAB(s)dm                                     	SA(s)dm                                      	 8.0	 0.25	S\underline{A}B(s)dm                                     	F	191.42208	-06.06917
UGC 7941  	SB(s)dm sp                                   	SA\underline{B}(s)cd sp                      	 7.0	 0.88	SB(s)d sp                                                	 	191.50385	+64.56934
UGC 7943  	SAB(s)d                                      	SAB(s)cd                                     	 6.5	 0.50	SAB(s)c\underline{d}                                     	F	191.69037	+05.95542
NGC 4680  	SAB(rs)b /Sph                                	S\underline{A}B(s)b pec                      	 3.0	 0.38	SAB(r\underline{s})b pec                                 	G	191.72812	-11.63704
UGC 7950  	IBm                                          	SAB(s)m                                      	 9.5	 0.75	S/IA\underline{B}(s:)m                                   	F	191.73511	+51.61300
PGC 91228 	Im: sp                                       	dIm sp                                       	10.0	     	Im: sp                                                   	 	191.75258	+32.65142
UGC 7949  	dIm                                          	dIm                                          	10.0	     	dIm                                                      	 	191.74867	+36.47611
NGC 4682  	SA(r)bc                                      	SA(r)bc                                      	 4.0	 0.00	SA(r)bc                                                  	M	191.81453	-10.06346
NGC 4684  	E(d)6-7/S0^-^                                	E(d)6 / inner S0^-^ sp                       	-5.0	     	E(d)6-7/S0^-^ sp                                         	 	191.82286	-02.72754
NGC 4689  	(R)SA(rs)bc                                  	(RL)SA(rs,rs)ab                              	 3.0	 0.00	(\underline{R}L)SA(rs,rs)b                               	M	191.93968	+13.76269
NGC 4688  	SB(s)dm                                      	SB(s)dm                                      	 8.0	 1.00	SB(s)dm                                                  	F	191.94359	+04.33607
PGC 43236 	SAB(s)c: sp                                  	SA(s)b:                                      	 4.0	 0.25	S\underline{A}B(s)bc: sp                                 	 	192.04050	-10.18649
NGC 4707  	Im                                           	Im                                           	10.0	     	Im                                                       	 	192.09575	+51.16608
NGC 4691  	(R'L,R')SB(s)0/a[m]                          	(R'L)SB(s)0/a[d]                             	 0.0	 1.00	(R'L,R')SB(s)0/a[dm]                                     	 	192.05667	-03.33269
NGC 4694  	S0^-^ sp/E2:                                 	SA0^-^ sp/ E(d)2-3                           	-3.0	 0.00	SA:0^-^ sp / E2-3:                                       	 	192.06288	+10.98362
NGC 4698  	(R)SA(rr)0/a/E2                              	(R)SA(rr)0/a / E(d)1-2                       	 0.0	 0.00	(R)SA(rr)0/a / E(d)1-2                                   	 	192.09557	+08.48724
IC 3806   	SA(r)0^+^                                    	SA(r)0^+^                                    	-1.0	 0.00	SA(r)0^+^                                                	 	192.23077	+14.90759
NGC 4699  	(R')SB(l)0/a                                 	(R')SB(l)0/a / E1                            	 0.0	 1.00	(R')SB(l)0/a / E1                                        	 	192.25911	-08.66430
NGC 4700  	SB(s)m sp                                    	SB(s)m sp                                    	 9.0	 1.00	SB(s)m sp                                                	 	192.28395	-11.40986
PGC 43345 	SB(s)cd                                      	SB(rs)d                                      	 6.5	 1.00	SB(r\underline{s})c\underline{d}                         	M	192.34667	-10.11889
NGC 4701  	SA(s)b:                                      	SA(s)bc                                      	 3.5	 0.00	SA(s)\underline{b}c:                                     	M	192.29817	+03.38873
PGC 43341 	SB(s)m                                       	SB(s)m                                       	 9.0	 1.00	SB(s)m                                                   	 	192.32583	-04.01528
NGC 4710  	SB_x(nd)0^+^                                 	SB_xa_0^+^ sp/ E(d)7                         	-1.0	 1.00	SB_{xa}_(nd)0^+^sp / E(d)7                               	 	192.41232	+15.16549
UGC 7982  	Sc spw                                       	Sc spw / E8                                  	 5.0	     	Sc spw / E8                                              	 	192.45907	+02.85292
NGC 4713  	SA\underline{B}(rs)c                         	SAB(rs)cd                                    	 5.5	 0.62	SAB(rs)\underline{c}d                                    	F	192.49122	+05.31142
NGC 4750  	(R')SA(\underline{r}s)a                      	(R')SA(rs)a pec                              	 1.0	 0.00	(R')SA(rs)a pec                                          	G	192.53006	+72.87450
PGC 43458 	SB(s)d pec                                   	SB(s)d                                       	 7.0	 1.00	SB(s)d pec                                               	F	192.62256	-10.85441
NGC 4725  	SAB(r,nb)a                                   	(R')SAB_x(r,nb)a                             	 1.0	 0.50	(R')SAB_x_(r,nb)a                                        	G	192.61089	+25.50076
UGC 7991  	Sd spw                                       	Sd spw / E(d)8                               	 7.0	     	Sd spw / E(d)8                                           	 	192.66237	+01.46419
NGC 4736  	(R)S\underline{A}B(rl,nr',nl,nb)a            	(R)SA(rl,\underline{r}s,nl,nb)a              	 1.0	 0.12	(R)SA(rl,\underline{r}s,nl,nb)a                          	 	192.72145	+41.12015
NGC 4731  	SB(s)d                                       	SB(s)d or Sd sp-superw                       	 7.0	 1.00	SB(s)d                                                   	G	192.75456	-06.39305
NGC 4723  	dIm                                          	Im                                           	10.0	     	Im                                                       	 	192.76208	-13.23722
NGC 4733  	SB(l)0^o^                                    	SB(rl)0/a                                    	-1.0	 1.00	SB(r\underline{l})0^+^                                   	 	192.77826	+10.91210
NGC 4749  	Scd sp                                       	Sd / E(d)6-7                                 	 6.5	     	Sc\underline{d} sp / E(d)6-7                             	 	192.80000	+71.63679
NGC 4722  	SB(rs)a                                      	SAB(rs)a                                     	 1.0	 0.75	SA\underline{B}(rs)a                                     	M	192.88500	-13.33007
NGC 4747  	SB(s)m sp                                    	Sm sp pec / E6                               	 9.0	 1.00	SB:(s:)m sp pec / E6                                     	 	192.94050	+25.77442
NGC 4746  	(R')Sc sp                                    	Sc sp                                        	 5.0	     	(R')Sc sp                                                	 	192.98071	+12.08303
NGC 4754  	(L)SB_a(s)0^-^                               	(L)SB_a(bl)0^o^                              	-2.5	 1.00	(L)SB_a_(bl)0^{-/o}^                                     	 	193.07318	+11.31366
NGC 4753  	S\underline{A}B0^o^                          	E4-5 (twist) pec (shells?)                   	-3.5	 0.25	E^+^4-5 / S\underline{A}B0^-^ pec                        	 	193.09213	-01.19969
PGC 43679 	SBd sp                                       	SB(s)d sp / E(d)8-9                          	 7.0	 1.00	SB(s:)d sp / E(d)8-9                                     	 	193.11194	-09.75400
PGC 43690 	(R_1_')SAB_a(l)a                             	(R_1_')SAB_a(l)a                             	 1.0	 0.50	(R_1_')SAB_a_(l)a                                        	 	193.14464	-09.77677
